,class,device,time_us,time,ept,lat,lon,alt,speed,orientation,track,acceleration,mode,locate_mode,headAcc_deg,sAcc_m_s,vAcc_m,hAcc_m,numSv,pDOP
0,TPV,v2xlocate,1665479014307898,2022-10-11T09:03:34.307Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
1,TPV,v2xlocate,1665479014407888,2022-10-11T09:03:34.407Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
2,TPV,v2xlocate,1665479014507910,2022-10-11T09:03:34.507Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
3,TPV,v2xlocate,1665479014607887,2022-10-11T09:03:34.607Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
4,TPV,v2xlocate,1665479014707924,2022-10-11T09:03:34.707Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
5,TPV,v2xlocate,1665479014807885,2022-10-11T09:03:34.807Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
6,TPV,v2xlocate,1665479014907881,2022-10-11T09:03:34.907Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
7,TPV,v2xlocate,1665479015007788,2022-10-11T09:03:35.007Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
8,TPV,v2xlocate,1665479015107803,2022-10-11T09:03:35.107Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
9,TPV,v2xlocate,1665479015207897,2022-10-11T09:03:35.207Z,,46.0668627,11.153010304,449.357,0.003,-1000000,85.981,-1000000,2,11,-1,-1,-1,50.0,0,-1
10,TPV,v2xlocate,1665479015307873,2022-10-11T09:03:35.307Z,,46.0668627,11.153010304,449.357,0.003,-1000000,86.008,-1000000,2,11,-1,-1,-1,50.0,0,-1
11,TPV,v2xlocate,1665479015407927,2022-10-11T09:03:35.407Z,,46.0668627,11.153010304,449.357,0.003,-1000000,86.035,-1000000,2,11,-1,-1,-1,50.0,0,-1
12,TPV,v2xlocate,1665479015507858,2022-10-11T09:03:35.507Z,,46.0668627,11.153010304,449.357,0.003,-1000000,86.064,-1000000,2,11,-1,-1,-1,50.0,0,-1
