rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665480510404042778,,701,,1665480510,403572082,'',,,7.14,-3.39,2.07,,0.0,0.0,0.0,1.0
1665480510504587416,,702,,1665480510,504228115,'',,,7.14,-3.34,2.21,,0.0,0.0,0.0,1.0
1665480510603861129,,703,,1665480510,603482007,'',,,7.15,-3.29,1.95,,0.0,0.0,0.0,1.0
1665480510703988170,,704,,1665480510,703063964,'',,,7.14,-3.19,2.11,,0.0,0.0,0.0,1.0
1665480510803972969,,705,,1665480510,803493976,'',,,7.14,-3.11,2.22,,0.0,0.0,0.0,1.0
1665480510905311532,,706,,1665480510,904465913,'',,,7.18,-3.09,2.37,,0.0,0.0,0.0,1.0
1665480511003915924,,707,,1665480511,3681898,'',,,7.19,-3.03,2.46,,0.0,0.0,0.0,1.0
1665480511104245203,,708,,1665480511,103830099,'',,,7.18,-2.92,2.16,,0.0,0.0,0.0,1.0
1665480511204689112,,709,,1665480511,204267978,'',,,7.21,-2.85,2.3,,0.0,0.0,0.0,1.0
1665480511303933142,,710,,1665480511,303627014,'',,,7.18,-2.67,2.39,,0.0,0.0,0.0,1.0
1665480511405747310,,711,,1665480511,405076980,'',,,7.16,-2.51,2.46,,0.0,0.0,0.0,1.0
1665480511504351944,,712,,1665480511,504184961,'',,,7.23,-2.45,2.57,,0.0,0.0,0.0,1.0
1665480511604084695,,713,,1665480511,603558063,'',,,7.2,-2.25,2.61,,0.0,0.0,0.0,1.0
1665480511704005214,,714,,1665480511,703218936,'',,,7.18,-2.08,2.31,,0.0,0.0,0.0,1.0
1665480511805645687,,715,,1665480511,804783105,'',,,7.14,-1.93,2.45,,0.0,0.0,0.0,1.0
1665480511905159368,,716,,1665480511,904880046,'',,,7.13,-1.76,2.57,,0.0,0.0,0.0,1.0
1665480512005393635,,717,,1665480512,4800081,'',,,7.13,-1.62,2.22,,0.0,0.0,0.0,1.0
1665480512104979481,,718,,1665480512,104615926,'',,,7.13,-1.45,1.95,,0.0,0.0,0.0,1.0
1665480512204977050,,719,,1665480512,204642057,'',,,7.13,-1.24,2.2,,0.0,0.0,0.0,1.0
1665480512304527816,,720,,1665480512,304210901,'',,,7.13,-1.03,2.37,,0.0,0.0,0.0,1.0
1665480512405158553,,721,,1665480512,404692888,'',,,7.12,-0.81,2.5,,0.0,0.0,0.0,1.0
1665480512505109781,,722,,1665480512,504709959,'',,,7.13,-0.59,2.61,,0.0,0.0,0.0,1.0
1665480512604799915,,723,,1665480512,604512929,'',,,7.11,-0.39,2.54,,0.0,0.0,0.0,1.0
1665480512705489396,,724,,1665480512,705121994,'',,,7.12,-0.18,2.26,,0.0,0.0,0.0,1.0
1665480512804883071,,725,,1665480512,804549932,'',,,7.13,0.03,2.04,,0.0,0.0,0.0,1.0
1665480512905325301,,726,,1665480512,905070066,'',,,7.15,0.25,2.1,,0.0,0.0,0.0,1.0
1665480513006341782,,727,,1665480513,5836963,'',,,7.15,0.48,2.09,,0.0,0.0,0.0,1.0
1665480513106148534,,728,,1665480513,105253934,'',,,7.17,0.73,2.13,,0.0,0.0,0.0,1.0
1665480513206115952,,729,,1665480513,205663919,'',,,7.18,1.01,2.2,,0.0,0.0,0.0,1.0
1665480513305772157,,730,,1665480513,305496931,'',,,7.19,1.26,1.86,,0.0,0.0,0.0,1.0
1665480513405706271,,731,,1665480513,405443906,'',,,7.21,1.5,2.03,,0.0,0.0,0.0,1.0
1665480513506244268,,732,,1665480513,505923986,'',,,7.21,1.77,2.03,,0.0,0.0,0.0,1.0
1665480513605906682,,733,,1665480513,605627059,'',,,7.18,2.04,2.12,,0.0,0.0,0.0,1.0
1665480513706953350,,734,,1665480513,706474065,'',,,7.19,2.33,2.31,,0.0,0.0,0.0,1.0
1665480513807078494,,735,,1665480513,806646108,'',,,7.21,2.64,2.38,,0.0,0.0,0.0,1.0
1665480513907565929,,736,,1665480513,906765937,'',,,7.18,2.92,2.42,,0.0,0.0,0.0,1.0
1665480514006369200,,737,,1665480514,5997896,'',,,7.23,3.2,2.26,,0.0,0.0,0.0,1.0
1665480514105987406,,738,,1665480514,105772972,'',,,7.25,3.5,2.2,,0.0,0.0,0.0,1.0
1665480514206222062,,739,,1665480514,205863952,'',,,7.23,3.81,2.27,,0.0,0.0,0.0,1.0
1665480514305760992,,740,,1665480514,305510997,'',,,7.25,4.13,1.91,,0.0,0.0,0.0,1.0
1665480514406393223,,741,,1665480514,405778884,'',,,7.26,4.46,1.73,,0.0,0.0,0.0,1.0
1665480514505989518,,742,,1665480514,505784988,'',,,7.27,4.8,1.62,,0.0,0.0,0.0,1.0
1665480514607245456,,743,,1665480514,606998920,'',,,7.25,5.15,1.75,,0.0,0.0,0.0,1.0
1665480514706367167,,744,,1665480514,706091880,'',,,7.24,5.49,1.85,,0.0,0.0,0.0,1.0
1665480514807908250,,745,,1665480514,807013988,'',,,7.26,5.83,1.96,,0.0,0.0,0.0,1.0
1665480514907606659,,746,,1665480514,907308101,'',,,7.27,6.17,2.03,,0.0,0.0,0.0,1.0
1665480515008836096,,747,,1665480515,7778882,'',,,7.36,6.49,2.01,,0.0,0.0,0.0,1.0
1665480515107262047,,748,,1665480515,106652975,'',,,7.43,6.82,1.95,,0.0,0.0,0.0,1.0
1665480515206983937,,749,,1665480515,206401109,'',,,7.43,7.19,1.9,,0.0,0.0,0.0,1.0
1665480515307391567,,750,,1665480515,306567907,'',,,7.42,7.55,1.92,,0.0,0.0,0.0,1.0
