rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665478004413268841,,1348,,1665478004,412811994,'',,,6.77,-2.16,2.14,,0.0,0.0,0.0,1.0
1665478004512681498,,1349,,1665478004,512341976,'',,,6.77,-2.13,1.97,,0.0,0.0,0.0,1.0
1665478004613954403,,1350,,1665478004,613610982,'',,,6.78,-2.12,1.77,,0.0,0.0,0.0,1.0
1665478004712320011,,1351,,1665478004,712021112,'',,,6.77,-2.06,2.02,,0.0,0.0,0.0,1.0
1665478004813165152,,1352,,1665478004,812879085,'',,,6.76,-2.01,1.92,,0.0,0.0,0.0,1.0
1665478004912583496,,1353,,1665478004,912239074,'',,,6.76,-1.94,1.8,,0.0,0.0,0.0,1.0
1665478005013172574,,1354,,1665478005,12830972,'',,,6.76,-1.91,1.65,,0.0,0.0,0.0,1.0
1665478005113256608,,1355,,1665478005,112488985,'',,,6.76,-1.82,1.59,,0.0,0.0,0.0,1.0
1665478005214045257,,1356,,1665478005,213670969,'',,,6.76,-1.75,1.47,,0.0,0.0,0.0,1.0
1665478005312879697,,1357,,1665478005,312683105,'',,,6.75,-1.64,1.58,,0.0,0.0,0.0,1.0
1665478005413032918,,1358,,1665478005,412795066,'',,,6.73,-1.55,1.48,,0.0,0.0,0.0,1.0
1665478005513195469,,1359,,1665478005,512845039,'',,,6.74,-1.43,1.83,,0.0,0.0,0.0,1.0
1665478005613882755,,1360,,1665478005,613054990,'',,,6.72,-1.29,1.9,,0.0,0.0,0.0,1.0
1665478005714504053,,1361,,1665478005,713486909,'',,,6.72,-1.14,1.73,,0.0,0.0,0.0,1.0
1665478005814143793,,1362,,1665478005,813623905,'',,,6.7,-0.96,2.0,,0.0,0.0,0.0,1.0
1665478005914546877,,1363,,1665478005,914216041,'',,,6.69,-0.8,1.75,,0.0,0.0,0.0,1.0
1665478006014176692,,1364,,1665478006,13875007,'',,,6.69,-0.58,1.97,,0.0,0.0,0.0,1.0
1665478006114002389,,1365,,1665478006,113682985,'',,,6.69,-0.38,2.13,,0.0,0.0,0.0,1.0
1665478006213781061,,1366,,1665478006,213416099,'',,,6.69,-0.18,1.93,,0.0,0.0,0.0,1.0
1665478006313581292,,1367,,1665478006,313340902,'',,,6.69,0.04,1.88,,0.0,0.0,0.0,1.0
1665478006413772526,,1368,,1665478006,413381099,'',,,6.67,0.23,1.75,,0.0,0.0,0.0,1.0
1665478006514369473,,1369,,1665478006,514046907,'',,,6.67,0.5,2.03,,0.0,0.0,0.0,1.0
1665478006613576395,,1370,,1665478006,613218069,'',,,6.66,0.75,1.88,,0.0,0.0,0.0,1.0
1665478006714112130,,1371,,1665478006,713690042,'',,,6.66,1.03,2.16,,0.0,0.0,0.0,1.0
1665478006813896647,,1372,,1665478006,813644886,'',,,6.66,1.34,2.35,,0.0,0.0,0.0,1.0
1665478006914930682,,1373,,1665478006,914180040,'',,,6.62,1.62,2.24,,0.0,0.0,0.0,1.0
1665478007014694851,,1374,,1665478007,14329910,'',,,6.58,1.9,2.18,,0.0,0.0,0.0,1.0
1665478007115507072,,1375,,1665478007,114927053,'',,,6.57,2.21,1.87,,0.0,0.0,0.0,1.0
1665478007213742447,,1376,,1665478007,213485956,'',,,6.57,2.56,2.09,,0.0,0.0,0.0,1.0
1665478007315588570,,1377,,1665478007,315064907,'',,,6.55,2.86,1.75,,0.0,0.0,0.0,1.0
1665478007413805088,,1378,,1665478007,413528919,'',,,6.52,3.2,1.98,,0.0,0.0,0.0,1.0
1665478007513440295,,1379,,1665478007,513123035,'',,,6.48,3.52,1.88,,0.0,0.0,0.0,1.0
1665478007615745656,,1380,,1665478007,615495920,'',,,6.42,3.84,2.0,,0.0,0.0,0.0,1.0
1665478007714357093,,1381,,1665478007,714051008,'',,,6.39,4.21,2.19,,0.0,0.0,0.0,1.0
1665478007814889290,,1382,,1665478007,814502954,'',,,6.33,4.54,2.08,,0.0,0.0,0.0,1.0
1665478007916129567,,1383,,1665478007,915550947,'',,,6.28,4.9,2.14,,0.0,0.0,0.0,1.0
1665478008015991947,,1384,,1665478008,15223979,'',,,6.26,5.25,1.87,,0.0,0.0,0.0,1.0
1665478008108964550,,1385,,1665478008,107290983,'',,,6.24,5.6,1.55,,0.0,0.0,0.0,1.0
1665478008208321023,,1386,,1665478008,207649946,'',,,6.22,5.93,1.21,,0.0,0.0,0.0,1.0
1665478008314409939,,1387,,1665478008,314069032,'',,,6.2,6.33,1.34,,0.0,0.0,0.0,1.0
1665478008414743068,,1388,,1665478008,414529085,'',,,6.18,6.71,1.26,,0.0,0.0,0.0,1.0
1665478008514462028,,1389,,1665478008,514226913,'',,,6.14,7.1,1.4,,0.0,0.0,0.0,1.0
1665478008708338951,,1390,,1665478008,707427978,'',,,6.13,7.56,1.09,,0.0,0.0,0.0,1.0
1665478008816548766,,1391,,1665478008,816169023,'',,,6.12,8.0,0.91,,0.0,0.0,0.0,1.0
1665478008907707099,,1392,,1665478008,906851053,'',,,6.09,8.41,0.6,,0.0,0.0,0.0,1.0
1665478009015324158,,1393,,1665478009,14072895,'',,,5.98,8.74,0.37,,0.0,0.0,0.0,1.0
1665478009116044725,,1394,,1665478009,115726947,'',,,6.03,9.22,0.85,,0.0,0.0,0.0,1.0
1665478009207577443,,1395,,1665478009,207345008,'',,,6.08,9.66,1.05,,0.0,0.0,0.0,1.0
1665478009315324174,,1396,,1665478009,315047025,'',,,6.16,10.11,1.36,,0.0,0.0,0.0,1.0
1665478009415926839,,1397,,1665478009,415499925,'',,,6.19,10.5,1.61,,0.0,0.0,0.0,1.0
1665478009515682870,,1398,,1665478009,514842033,'',,,6.23,10.87,1.82,,0.0,0.0,0.0,1.0
1665478009615086119,,1399,,1665478009,614804029,'',,,6.36,11.28,1.9,,0.0,0.0,0.0,1.0
1665478009714771633,,1400,,1665478009,714370012,'',,,6.5,11.68,1.95,,0.0,0.0,0.0,1.0
1665478009815136031,,1401,,1665478009,814919948,'',,,6.63,12.05,1.98,,0.0,0.0,0.0,1.0
1665478009916462516,,1402,,1665478009,915663957,'',,,6.71,12.38,2.05,,0.0,0.0,0.0,1.0
1665478010017208128,,1403,,1665478010,15631914,'',,,6.81,12.71,2.17,,0.0,0.0,0.0,1.0
1665478010115233086,,1404,,1665478010,114409923,'',,,6.96,13.05,1.9,,0.0,0.0,0.0,1.0
1665478010217308587,,1405,,1665478010,215647935,'',,,7.09,13.42,1.75,,0.0,0.0,0.0,1.0
1665478010316812991,,1406,,1665478010,316314935,'',,,7.22,13.79,1.58,,0.0,0.0,0.0,1.0
1665478010415623503,,1407,,1665478010,415275096,'',,,7.45,14.04,1.39,,0.0,0.0,0.0,1.0
1665478010513997866,,1408,,1665478010,513745069,'',,,7.65,14.36,1.49,,0.0,0.0,0.0,1.0
