rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665479381627226628,,1077,,1665479381,626705884,'',,,6.64,-3.0,2.33,,0.0,0.0,0.0,1.0
1665479381726842779,,1078,,1665479381,726639032,'',,,6.64,-2.95,2.37,,0.0,0.0,0.0,1.0
1665479381827180237,,1079,,1665479381,826961994,'',,,6.65,-2.93,2.52,,0.0,0.0,0.0,1.0
1665479381926917295,,1080,,1665479381,926625013,'',,,6.64,-2.85,2.56,,0.0,0.0,0.0,1.0
1665479382027357866,,1081,,1665479382,27139902,'',,,6.68,-2.81,2.76,,0.0,0.0,0.0,1.0
1665479382127975400,,1082,,1665479382,126812934,'',,,6.67,-2.75,2.68,,0.0,0.0,0.0,1.0
1665479382226406846,,1083,,1665479382,226178884,'',,,6.66,-2.65,2.57,,0.0,0.0,0.0,1.0
1665479382326106930,,1084,,1665479382,325758934,'',,,6.66,-2.54,2.33,,0.0,0.0,0.0,1.0
1665479382426902867,,1085,,1665479382,426598072,'',,,6.64,-2.41,2.48,,0.0,0.0,0.0,1.0
1665479382526291904,,1086,,1665479382,526087045,'',,,6.66,-2.33,2.6,,0.0,0.0,0.0,1.0
1665479382627703240,,1087,,1665479382,627451896,'',,,6.64,-2.21,2.63,,0.0,0.0,0.0,1.0
1665479382727594069,,1088,,1665479382,727298974,'',,,6.63,-2.05,2.71,,0.0,0.0,0.0,1.0
1665479382826097220,,1089,,1665479382,825865983,'',,,6.62,-1.89,2.77,,0.0,0.0,0.0,1.0
1665479382927904964,,1090,,1665479382,927547931,'',,,6.61,-1.74,2.79,,0.0,0.0,0.0,1.0
1665479383027635931,,1091,,1665479383,27236938,'',,,6.61,-1.63,2.83,,0.0,0.0,0.0,1.0
1665479383126753953,,1092,,1665479383,126416921,'',,,6.62,-1.53,2.69,,0.0,0.0,0.0,1.0
1665479383226888553,,1093,,1665479383,226588010,'',,,6.62,-1.4,2.7,,0.0,0.0,0.0,1.0
1665479383327599466,,1094,,1665479383,326736927,'',,,6.62,-1.27,2.68,,0.0,0.0,0.0,1.0
1665479383427430745,,1095,,1665479383,426865100,'',,,6.6,-1.12,2.76,,0.0,0.0,0.0,1.0
1665479383527205047,,1096,,1665479383,526405096,'',,,6.6,-0.97,2.33,,0.0,0.0,0.0,1.0
1665479383626796384,,1097,,1665479383,626458883,'',,,6.59,-0.82,2.0,,0.0,0.0,0.0,1.0
1665479383727109944,,1098,,1665479383,726844072,'',,,6.57,-0.67,1.8,,0.0,0.0,0.0,1.0
1665479383826814534,,1099,,1665479383,826618909,'',,,6.56,-0.49,1.7,,0.0,0.0,0.0,1.0
1665479383927069947,,1100,,1665479383,926688909,'',,,6.57,-0.3,1.6,,0.0,0.0,0.0,1.0
1665479384026777456,,1101,,1665479384,26421070,'',,,6.59,-0.12,1.72,,0.0,0.0,0.0,1.0
