rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665481238205401417,,3289,,1665481238,205166101,'',,,7.0,-2.61,2.04,,0.0,0.0,0.0,1.0
1665481238306203225,,3290,,1665481238,305413007,'',,,7.01,-2.6,2.16,,0.0,0.0,0.0,1.0
1665481238406437231,,3291,,1665481238,405747890,'',,,6.99,-2.51,2.24,,0.0,0.0,0.0,1.0
1665481238506291910,,3292,,1665481238,505109071,'',,,6.98,-2.43,2.44,,0.0,0.0,0.0,1.0
1665481238606794185,,3293,,1665481238,605909109,'',,,7.04,-2.46,2.45,,0.0,0.0,0.0,1.0
1665481238705122662,,3294,,1665481238,704740047,'',,,7.01,-2.36,2.43,,0.0,0.0,0.0,1.0
1665481238805845076,,3295,,1665481238,804749011,'',,,6.97,-2.22,2.54,,0.0,0.0,0.0,1.0
1665481238906033114,,3296,,1665481238,905150890,'',,,6.95,-2.12,2.61,,0.0,0.0,0.0,1.0
1665481239005070750,,3297,,1665481239,4506111,'',,,6.94,-1.99,2.68,,0.0,0.0,0.0,1.0
1665481239106402374,,3298,,1665481239,105931997,'',,,7.0,-1.98,2.74,,0.0,0.0,0.0,1.0
1665481239206184293,,3299,,1665481239,205827951,'',,,6.96,-1.85,2.76,,0.0,0.0,0.0,1.0
1665481239306096015,,3300,,1665481239,305290937,'',,,6.95,-1.78,2.86,,0.0,0.0,0.0,1.0
1665481239405008797,,3301,,1665481239,404395103,'',,,6.93,-1.63,2.82,,0.0,0.0,0.0,1.0
1665481239506133682,,3302,,1665481239,505748987,'',,,6.97,-1.58,2.93,,0.0,0.0,0.0,1.0
1665481239605430963,,3303,,1665481239,605151891,'',,,6.94,-1.43,2.8,,0.0,0.0,0.0,1.0
1665481239704710441,,3304,,1665481239,704369068,'',,,6.91,-1.28,2.74,,0.0,0.0,0.0,1.0
1665481239805430956,,3305,,1665481239,805140972,'',,,6.88,-1.19,2.39,,0.0,0.0,0.0,1.0
1665481239904391771,,3306,,1665481239,904211997,'',,,6.86,-1.08,2.07,,0.0,0.0,0.0,1.0
1665481240004095648,,3307,,1665481240,3808021,'',,,6.83,-0.95,1.93,,0.0,0.0,0.0,1.0
1665481240105020606,,3308,,1665481240,104790925,'',,,6.8,-0.83,1.8,,0.0,0.0,0.0,1.0
1665481240205334199,,3309,,1665481240,204937934,'',,,6.79,-0.67,2.03,,0.0,0.0,0.0,1.0
1665481240305437817,,3310,,1665481240,304619073,'',,,6.76,-0.53,1.98,,0.0,0.0,0.0,1.0
1665481240405134358,,3311,,1665481240,404863119,'',,,6.74,-0.36,2.15,,0.0,0.0,0.0,1.0
1665481240504652295,,3312,,1665481240,504496097,'',,,6.72,-0.22,2.08,,0.0,0.0,0.0,1.0
1665481240605302993,,3313,,1665481240,604671001,'',,,6.7,-0.07,2.18,,0.0,0.0,0.0,1.0
1665481240705694323,,3314,,1665481240,705348014,'',,,6.68,0.08,2.03,,0.0,0.0,0.0,1.0
1665481240806853836,,3315,,1665481240,805519104,'',,,6.65,0.26,2.15,,0.0,0.0,0.0,1.0
1665481240906888672,,3316,,1665481240,906145095,'',,,6.61,0.42,2.35,,0.0,0.0,0.0,1.0
1665481241006930098,,3317,,1665481241,6423950,'',,,6.58,0.56,2.0,,0.0,0.0,0.0,1.0
1665481241107067914,,3318,,1665481241,106353998,'',,,6.55,0.74,2.23,,0.0,0.0,0.0,1.0
1665481241206114333,,3319,,1665481241,205519914,'',,,6.5,0.91,2.12,,0.0,0.0,0.0,1.0
1665481241306518259,,3320,,1665481241,305541992,'',,,6.47,1.1,2.33,,0.0,0.0,0.0,1.0
1665481241405827796,,3321,,1665481241,405005931,'',,,6.42,1.26,2.21,,0.0,0.0,0.0,1.0
1665481241506129282,,3322,,1665481241,505561113,'',,,6.38,1.43,2.2,,0.0,0.0,0.0,1.0
1665481241606618908,,3323,,1665481241,606156110,'',,,6.34,1.62,2.37,,0.0,0.0,0.0,1.0
1665481241706334455,,3324,,1665481241,706087112,'',,,6.31,1.79,2.31,,0.0,0.0,0.0,1.0
1665481241806398778,,3325,,1665481241,806096076,'',,,6.27,1.98,2.46,,0.0,0.0,0.0,1.0
1665481241906341998,,3326,,1665481241,906004905,'',,,6.22,2.16,2.13,,0.0,0.0,0.0,1.0
1665481242005817078,,3327,,1665481242,5590915,'',,,6.19,2.35,1.94,,0.0,0.0,0.0,1.0
1665481242106997457,,3328,,1665481242,106393098,'',,,6.15,2.55,2.15,,0.0,0.0,0.0,1.0
1665481242206609058,,3329,,1665481242,206377983,'',,,6.1,2.71,1.82,,0.0,0.0,0.0,1.0
1665481242305526477,,3330,,1665481242,305229902,'',,,6.07,2.88,1.58,,0.0,0.0,0.0,1.0
1665481242406976772,,3331,,1665481242,406260967,'',,,6.04,3.06,1.39,,0.0,0.0,0.0,1.0
1665481242506735319,,3332,,1665481242,505624055,'',,,6.0,3.25,1.61,,0.0,0.0,0.0,1.0
1665481242606733802,,3333,,1665481242,606478929,'',,,5.95,3.43,1.8,,0.0,0.0,0.0,1.0
1665481242706955373,,3334,,1665481242,706617116,'',,,5.95,3.62,1.65,,0.0,0.0,0.0,1.0
1665481242805380757,,3335,,1665481242,805197000,'',,,5.93,3.82,1.52,,0.0,0.0,0.0,1.0
1665481242905570673,,3336,,1665481242,905246019,'',,,5.9,4.01,1.68,,0.0,0.0,0.0,1.0
1665481243006694713,,3337,,1665481243,6182909,'',,,5.91,4.18,1.67,,0.0,0.0,0.0,1.0
1665481243107863497,,3338,,1665481243,107482910,'',,,5.92,4.37,1.62,,0.0,0.0,0.0,1.0
1665481243205835627,,3339,,1665481243,205559968,'',,,5.91,4.58,1.55,,0.0,0.0,0.0,1.0
1665481243305707343,,3340,,1665481243,305329084,'',,,5.92,4.77,1.6,,0.0,0.0,0.0,1.0
