rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665761258608140712,,3931,,1665761258,607841968,'',,,-1.16,12.3,1.21,,0.0,0.0,0.0,1.0
1665761258708327066,,3932,,1665761258,708019971,'',,,-1.16,12.31,1.18,,0.0,0.0,0.0,1.0
1665761258808462585,,3933,,1665761258,808017969,'',,,-1.22,12.28,1.1,,0.0,0.0,0.0,1.0
1665761258908680304,,3934,,1665761258,907850027,'',,,-1.2,12.3,1.12,,0.0,0.0,0.0,1.0
1665761259008365731,,3935,,1665761259,8068084,'',,,-1.17,12.31,1.18,,0.0,0.0,0.0,1.0
1665761259108465827,,3936,,1665761259,107943058,'',,,-1.23,12.28,1.16,,0.0,0.0,0.0,1.0
1665761259208297741,,3937,,1665761259,207873106,'',,,-1.24,12.25,1.14,,0.0,0.0,0.0,1.0
1665761259308146368,,3938,,1665761259,307852029,'',,,-1.21,12.28,1.12,,0.0,0.0,0.0,1.0
1665761259408011259,,3939,,1665761259,407747983,'',,,-1.24,12.26,1.13,,0.0,0.0,0.0,1.0
1665761259508705373,,3940,,1665761259,508130073,'',,,-1.26,12.25,1.09,,0.0,0.0,0.0,1.0
1665761259607980354,,3941,,1665761259,607702970,'',,,-1.26,12.24,1.02,,0.0,0.0,0.0,1.0
1665761259707998149,,3942,,1665761259,707699060,'',,,-1.25,12.25,0.96,,0.0,0.0,0.0,1.0
1665761259808262158,,3943,,1665761259,807925939,'',,,-1.31,12.23,1.04,,0.0,0.0,0.0,1.0
1665761259908368136,,3944,,1665761259,908097982,'',,,-1.27,12.25,1.19,,0.0,0.0,0.0,1.0
1665761260008082205,,3945,,1665761260,7780075,'',,,-1.3,12.24,1.15,,0.0,0.0,0.0,1.0
1665761260108075761,,3946,,1665761260,107845067,'',,,-1.26,12.26,1.26,,0.0,0.0,0.0,1.0
1665761260209324290,,3947,,1665761260,208235979,'',,,-1.23,12.27,1.31,,0.0,0.0,0.0,1.0
