rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1665761610817809057,,1766,,1665761610,817466974,'',,,-1.91,55.92,1.32,,0.0,0.0,0.0,1.0
1665761610917163772,,1767,,1665761610,916867017,'',,,-1.91,55.87,1.38,,0.0,0.0,0.0,1.0
1665761611017444281,,1768,,1665761611,17096042,'',,,-1.9,55.83,1.34,,0.0,0.0,0.0,1.0
1665761611117991861,,1769,,1665761611,117456912,'',,,-1.89,55.77,1.39,,0.0,0.0,0.0,1.0
1665761611217743046,,1770,,1665761611,217190980,'',,,-1.89,55.72,1.44,,0.0,0.0,0.0,1.0
1665761611317332379,,1771,,1665761611,317015886,'',,,-1.9,55.66,1.46,,0.0,0.0,0.0,1.0
1665761611417355730,,1772,,1665761611,417150020,'',,,-1.89,55.6,1.53,,0.0,0.0,0.0,1.0
1665761611517531662,,1773,,1665761611,517199039,'',,,-1.9,55.57,1.52,,0.0,0.0,0.0,1.0
1665761611617613137,,1774,,1665761611,617309093,'',,,-1.87,55.49,1.41,,0.0,0.0,0.0,1.0
1665761611717653338,,1775,,1665761611,717434883,'',,,-1.86,55.4,1.3,,0.0,0.0,0.0,1.0
1665761611817719292,,1776,,1665761611,817179918,'',,,-1.86,55.33,1.38,,0.0,0.0,0.0,1.0
1665761611917237368,,1777,,1665761611,916920900,'',,,-1.88,55.24,1.45,,0.0,0.0,0.0,1.0
1665761612017761042,,1778,,1665761612,17489910,'',,,-1.93,55.19,1.39,,0.0,0.0,0.0,1.0
1665761612116945731,,1779,,1665761612,116632938,'',,,-1.95,55.13,1.32,,0.0,0.0,0.0,1.0
1665761612217427754,,1780,,1665761612,217160940,'',,,-1.95,55.01,1.22,,0.0,0.0,0.0,1.0
1665761612317815687,,1781,,1665761612,317493915,'',,,-1.93,54.89,1.17,,0.0,0.0,0.0,1.0
1665761612417491237,,1782,,1665761612,417186975,'',,,-1.94,54.77,1.13,,0.0,0.0,0.0,1.0
1665761612517448886,,1783,,1665761612,516942977,'',,,-1.95,54.64,1.12,,0.0,0.0,0.0,1.0
1665761612617482132,,1784,,1665761612,617206096,'',,,-2.02,54.58,1.17,,0.0,0.0,0.0,1.0
1665761612717040326,,1785,,1665761612,716676950,'',,,-2.09,54.5,1.13,,0.0,0.0,0.0,1.0
1665761612817305431,,1786,,1665761612,816863059,'',,,-2.14,54.4,1.11,,0.0,0.0,0.0,1.0
1665761612918416036,,1787,,1665761612,917824029,'',,,-2.15,54.25,1.1,,0.0,0.0,0.0,1.0
1665761613017602980,,1788,,1665761613,17124891,'',,,-2.23,54.15,1.23,,0.0,0.0,0.0,1.0
1665761613117690885,,1789,,1665761613,117276906,'',,,-2.25,54.0,1.14,,0.0,0.0,0.0,1.0
1665761613218603938,,1790,,1665761613,217550039,'',,,-2.28,53.86,1.08,,0.0,0.0,0.0,1.0
1665761613317144417,,1791,,1665761613,316812992,'',,,-2.37,53.77,1.1,,0.0,0.0,0.0,1.0
