,time_us,GGA,lat,lon
2,1665744734610.2349,GGA,46.0678935,11.1507597
4,1665744734710.0183,GGA,46.0678935,11.1507597
6,1665744734807.546,GGA,46.0678935,11.1507597
8,1665744734908.883,GGA,46.0678935,11.1507597
10,1665744735018.7107,GGA,46.0678935,11.1507597
12,1665744735107.9707,GGA,46.0678935,11.1507597
14,1665744735207.7778,GGA,46.0678935,11.1507597
16,1665744735307.6323,GGA,46.0678935,11.1507597
18,1665744735407.458,GGA,46.0678935,11.1507597
20,1665744735509.031,GGA,46.0678935,11.1507597
22,1665744735608.0764,GGA,46.0678935,11.1507597
24,1665744735707.7136,GGA,46.0678935,11.1507597
26,1665744735807.6785,GGA,46.0678935,11.1507597
28,1665744735907.965,GGA,46.0678935,11.1507597
30,1665744736020.0444,GGA,46.0678935,11.1507597
32,1665744736107.8713,GGA,46.0678935,11.1507597
34,1665744736207.625,GGA,46.0678935,11.1507597
36,1665744736307.6633,GGA,46.0678935,11.1507597
38,1665744736407.6,GGA,46.0678935,11.1507597
40,1665744736509.1152,GGA,46.0678935,11.1507597
42,1665744736607.4912,GGA,46.0678935,11.1507597
44,1665744736707.998,GGA,46.0678935,11.1507597
46,1665744736808.0786,GGA,46.0678935,11.1507597
48,1665744736908.1343,GGA,46.0678935,11.1507597
50,1665744737019.9343,GGA,46.0678935,11.1507597
52,1665744737108.5698,GGA,46.0678935,11.1507597
54,1665744737207.6064,GGA,46.0678935,11.1507597
56,1665744737307.47,GGA,46.0678935,11.1507597
58,1665744737407.47,GGA,46.0678935,11.1507597
60,1665744737511.5525,GGA,46.0678935,11.1507597
62,1665744737607.98,GGA,46.0678935,11.1507597
64,1665744737708.3625,GGA,46.0678935,11.1507597
66,1665744737807.902,GGA,46.0678935,11.1507597
68,1665744737907.843,GGA,46.0678935,11.1507597
70,1665744738020.9053,GGA,46.0678935,11.1507597
72,1665744738113.4885,GGA,46.0678935,11.1507597
74,1665744738208.1414,GGA,46.0678935,11.1507597
76,1665744738307.6626,GGA,46.0678935,11.1507597
78,1665744738407.793,GGA,46.0678935,11.1507597
80,1665744738512.0598,GGA,46.0678935,11.1507597
82,1665744738607.6729,GGA,46.0678935,11.1507597
84,1665744738707.4219,GGA,46.0678935,11.1507597
86,1665744738807.3992,GGA,46.0678935,11.1507597
88,1665744738907.4307,GGA,46.0678935,11.1507597
90,1665744739019.6143,GGA,46.0678935,11.1507597
